date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:49:10	293/293	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2031%20Jul%202019%2009:49:09%20GMT	http://kalynnakano.com/robots.txt		(from )
10:49:11	17843/17843	---MCZ	200	added ('OK')	text/html	date:Thu,%2023%20Jan%202014%2017:53:27%20GMT	http://kalynnakano.com/	/home/ptelemoveis/websites/CV/kalynnakano.com/index.html	(from )
10:49:12	9858/9858	---MCZ	200	added ('OK')	text/css	date:Fri,%2024%20Jan%202014%2008:25:36%20GMT	http://kalynnakano.com/css/style.css	/home/ptelemoveis/websites/CV/kalynnakano.com/css/style.css	(from http://kalynnakano.com/)
10:49:12	496/496	---MC-	200	added ('OK')	text/css	date:Wed,%2031%20Jul%202019%2009:49:12%20GMT	http://fonts.googleapis.com/css?family=Montserrat:400,700	/home/ptelemoveis/websites/CV/fonts.googleapis.com/csse3e5.css	(from http://kalynnakano.com/)
10:49:13	2218/2218	---MC-	200	added ('OK')	text/css	date:Wed,%2031%20Jul%202019%2009:49:13%20GMT	http://fonts.googleapis.com/css?family=Rokkitt|Open+Sans:300italic,400italic,600italic,700italic,400,300,600,700	/home/ptelemoveis/websites/CV/fonts.googleapis.com/css423e.css	(from http://kalynnakano.com/)
10:49:14	889/889	---MC-	200	added ('OK')	text/css	date:Wed,%2031%20Jul%202019%2009:49:14%20GMT	http://fonts.googleapis.com/css?family=Karla:400,400italic,700,700italic	/home/ptelemoveis/websites/CV/fonts.googleapis.com/css34c3.css	(from http://kalynnakano.com/)
10:49:16	7691/7691	---MCZ	200	added ('OK')	text/css	date:Sat,%2009%20Nov%202013%2019:50:35%20GMT	http://kalynnakano.com/dist/magnific-popup.css?v=0.9.8	/home/ptelemoveis/websites/CV/kalynnakano.com/dist/magnific-popup970d.css	(from http://kalynnakano.com/)
10:49:21	44287/44287	---MC-	200	added ('OK')	text/javascript	date:Thu,%2020%20Jun%202019%2021:35:04%20GMT	http://www.google-analytics.com/analytics.js	/home/ptelemoveis/websites/CV/www.google-analytics.com/analytics.js	(from http://kalynnakano.com/)
10:49:26	35183/35183	---M--	200	added ('OK')	image/jpeg	date:Sun,%2027%20Oct%202013%2017:45:35%20GMT	http://kalynnakano.com/img/companies/usc2.jpg	/home/ptelemoveis/websites/CV/kalynnakano.com/img/companies/usc2.jpg	(from http://kalynnakano.com/)
10:49:29	70093/70093	---M--	200	added ('OK')	image/png	date:Sun,%2020%20Oct%202013%2022:33:56%20GMT	http://kalynnakano.com/img/big.png	/home/ptelemoveis/websites/CV/kalynnakano.com/img/big.png	(from http://kalynnakano.com/)
10:49:31	16153/16153	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Oct%202013%2007:19:15%20GMT	http://kalynnakano.com/img/companies/fcat.png	/home/ptelemoveis/websites/CV/kalynnakano.com/img/companies/fcat.png	(from http://kalynnakano.com/)
10:49:36	77923/77923	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Oct%202013%2007:17:11%20GMT	http://kalynnakano.com/img/companies/sorbonne.png	/home/ptelemoveis/websites/CV/kalynnakano.com/img/companies/sorbonne.png	(from http://kalynnakano.com/)
10:49:36	19878/19878	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Oct%202013%2007:02:12%20GMT	http://kalynnakano.com/img/companies/intuit.png	/home/ptelemoveis/websites/CV/kalynnakano.com/img/companies/intuit.png	(from http://kalynnakano.com/)
10:49:39	123309/123309	---M--	200	added ('OK')	application/pdf	date:Thu,%2014%20Nov%202013%2023:56:56%20GMT	http://kalynnakano.com/kalynnakano.pdf	/home/ptelemoveis/websites/CV/kalynnakano.com/kalynnakano.pdf	(from http://kalynnakano.com/)
10:49:39	53775/53775	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Oct%202013%2007:07:32%20GMT	http://kalynnakano.com/img/companies/roski.png	/home/ptelemoveis/websites/CV/kalynnakano.com/img/companies/roski.png	(from http://kalynnakano.com/)
10:49:42	19572/19572	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Oct%202013%2007:03:22%20GMT	http://kalynnakano.com/img/companies/uptrending.png	/home/ptelemoveis/websites/CV/kalynnakano.com/img/companies/uptrending.png	(from http://kalynnakano.com/)
10:49:48	58601/58601	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Oct%202013%2007:05:31%20GMT	http://kalynnakano.com/img/companies/tricky.png	/home/ptelemoveis/websites/CV/kalynnakano.com/img/companies/tricky.png	(from http://kalynnakano.com/)
10:49:50	49920/49920	---M--	200	added ('OK')	image/png	date:Tue,%2029%20Oct%202013%2009:02:59%20GMT	http://kalynnakano.com/img/portfolio/bike2.png	/home/ptelemoveis/websites/CV/kalynnakano.com/img/portfolio/bike2.png	(from http://kalynnakano.com/)
10:49:53	793/793	---MCZ	200	added ('OK')	text/html	date:Sun,%2016%20Jun%202013%2001:11:16%20GMT	http://kalynnakano.com/visualizer/xx.html	/home/ptelemoveis/websites/CV/kalynnakano.com/visualizer/xx.html	(from http://kalynnakano.com/)
10:50:00	56139/56139	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Nov%202013%2017:47:55%20GMT	http://kalynnakano.com/img/portfolio/xx_03.png	/home/ptelemoveis/websites/CV/kalynnakano.com/img/portfolio/xx_03.png	(from http://kalynnakano.com/)
10:50:10	169079/169079	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Nov%202013%2006:40:45%20GMT	http://kalynnakano.com/img/portfolio/happen.png	/home/ptelemoveis/websites/CV/kalynnakano.com/img/portfolio/happen.png	(from http://kalynnakano.com/)
10:50:13	5413/5413	---MCZ	200	added ('OK')	application/javascript	date:Fri,%2027%20Sep%202013%2003:33:26%20GMT	http://kalynnakano.com/js/jquery.fixedTOC.js?v=3.0	/home/ptelemoveis/websites/CV/kalynnakano.com/js/jquery.fixedTOCc3db.js	(from http://kalynnakano.com/)
10:50:20	45684/45684	---MCZ	200	added ('OK')	application/javascript	date:Sat,%2009%20Nov%202013%2019:20:29%20GMT	http://kalynnakano.com/dist/jquery.magnific-popup.js?v=0.9.8	/home/ptelemoveis/websites/CV/kalynnakano.com/dist/jquery.magnific-popup970d.js	(from http://kalynnakano.com/)
10:50:23	51/51	---MCZ	200	added ('OK')	text/plain	date:Wed,%2031%20Jul%202019%2009:50:20%20GMT	http://fonts.googleapis.com/robots.txt		(from http://kalynnakano.com/)
10:50:23	94840/94840	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	http://ajax.googleapis.com/ajax/libs/jquery/1.7.2/jquery.min.js	/home/ptelemoveis/websites/CV/ajax.googleapis.com/ajax/libs/jquery/1.7.2/jquery.min.js	(from http://kalynnakano.com/)
10:50:25	476/476	---MC-	200	added ('OK')	text/css	date:Wed,%2031%20Jul%202019%2009:50:23%20GMT	http://fonts.googleapis.com/css?family=Raleway:200,300	/home/ptelemoveis/websites/CV/fonts.googleapis.com/cssc9da.css	(from http://kalynnakano.com/visualizer/xx.html)
